見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2017-秋 特集「ＮＡＮＧＡ 俗を去り自ら娯しむ」,展示,?12月17日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,特別展「アメリカへ渡った二人 国吉康雄と石垣栄太郎」 ,展示,?12月24日 ,,,,一般510円　学生301円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「ペーパークラフトかわいいワンちゃんの写真たて」,イベント,12月10日10:30?12:00、13:00?14:30、14:45?16:15,,小学生以上（小学生は保護者同伴）,各8人,"1,500円",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「色紙に干支を描こう！」,イベント,12月17日10:00?12:00、13:00?15:00,,小学生以上（小学生は保護者同伴）,各8人,"1,500円",事前申込 ,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「季節の寄せ植え」,イベント,12月24日14:00?15:30,,小学生以上（小学生は保護者同伴）,各20人（先着順）,"2,500円",事前申込 ,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,南葵音楽文庫ミニレクチャーあかちゃんといっしょに楽しもう～あき～,イベント,12月9日?3月31日毎週土曜日11:00?,,,各回10人（先着順）,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,中高生読書まつり（1）ビブリオバトル和歌山大会決勝戦 （2）ビブリオバトル・POPコンクール表彰式,イベント,12月10日12:30?16:15 ,,中学生以上,200人 （先着順）,,事前申込（当日参加も可）,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜, ボランティアによる「おはなし会」,イベント,12月16・23日、1月13日14:00?、1月6日11:00?,,,,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜, エントランスコンサート,イベント,1月5日12:00?12:30 ,,,100人程度（先着順）,,,入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,サンタが大水槽にやってくる 潜水作業大公開,イベント,12月10・17日11:00?12:00、14:00?15:00 ,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
